date,loc_id,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,winddirdegree,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-07-25,1,34,22,27,0.0,13,13.6,302,113,59,10,1006,4,28,17,27,17,28,7,5.8,19.633333333333333,69.0,7,-0.4999999999999997,-0.8660254037844388,25,-0.9377521321470804,0.3473052528448203,0.5299192642332047,-0.8480480961564262
2008-07-26,1,31,19,24,0.0,15,13.6,301,113,61,9,1007,21,25,15,24,18,25,6,5.8,19.633333333333333,75.9,7,-0.4999999999999997,-0.8660254037844388,26,-0.848644257494751,0.5289640103269624,0.5150380749100542,-0.8571673007021123
2008-07-27,1,30,19,24,0.0,14,13.6,299,113,61,10,1008,9,25,15,24,18,25,6,5.816666666666666,19.616666666666667,82.8,7,-0.4999999999999997,-0.8660254037844388,27,-0.72479278722912,0.6889669190756865,0.4848096202463373,-0.8746197071393956
2008-07-28,1,31,19,25,0.0,13,13.6,301,113,64,8,1007,21,25,16,25,17,25,6,5.816666666666666,19.6,89.7,7,-0.4999999999999997,-0.8660254037844388,28,-0.5712682150947924,0.8207634412072763,0.5150380749100542,-0.8571673007021123
2008-07-29,1,31,20,25,0.0,12,13.6,291,113,65,8,1006,22,26,17,25,15,26,7,5.833333333333333,19.6,96.6,7,-0.4999999999999997,-0.8660254037844388,29,-0.3943558551133187,0.9189578116202306,0.3583679495453004,-0.9335804264972017
2008-07-30,1,33,20,26,0.0,12,13.6,292,113,62,9,1006,8,27,17,26,15,27,7,5.85,19.583333333333332,96.6,7,-0.4999999999999997,-0.8660254037844388,30,-0.20129852008866114,0.9795299412524943,0.37460659341591196,-0.9271838545667874
2008-07-31,1,35,21,28,0.0,11,13.6,299,113,59,9,1006,9,28,17,28,14,28,7,5.85,19.566666666666666,89.7,7,-0.4999999999999997,-0.8660254037844388,31,-2.4492935982947064e-16,1.0,0.4848096202463373,-0.8746197071393956
2008-08-01,1,35,22,29,0.0,10,13.6,290,113,52,9,1006,15,29,15,29,13,29,7,5.866666666666667,19.55,82.8,8,-0.8660254037844384,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,0.342020143325669,-0.9396926207859083
2008-08-02,1,35,24,29,0.0,12,13.6,291,113,47,10,1007,0,29,14,29,15,29,7,5.883333333333333,19.55,75.9,8,-0.8660254037844384,-0.5000000000000004,2,0.39435585511331855,0.9189578116202306,0.3583679495453004,-0.9335804264972017
2008-08-03,1,34,23,28,0.0,12,13.6,297,113,49,10,1006,0,28,15,28,16,28,7,5.883333333333333,19.533333333333335,69.0,8,-0.8660254037844384,-0.5000000000000004,3,0.5712682150947923,0.8207634412072763,0.45399049973954664,-0.891006524188368
2008-08-04,1,34,23,27,0.0,13,13.6,306,113,50,10,1006,0,27,14,27,17,27,7,5.9,19.516666666666666,62.1,8,-0.8660254037844384,-0.5000000000000004,4,0.7247927872291199,0.6889669190756866,0.5877852522924729,-0.8090169943749476
2008-08-05,1,33,21,26,0.0,14,13.6,292,113,61,8,1005,19,27,17,26,17,27,7,5.916666666666667,19.5,55.2,8,-0.8660254037844384,-0.5000000000000004,5,0.8486442574947509,0.5289640103269624,0.37460659341591196,-0.9271838545667874
2008-08-06,1,34,22,27,0.0,11,13.6,305,113,52,10,1004,0,28,15,27,14,28,7,5.916666666666667,19.483333333333334,48.3,8,-0.8660254037844384,-0.5000000000000004,6,0.9377521321470804,0.3473052528448203,0.573576436351046,-0.8191520442889918
2008-08-07,1,34,23,28,0.0,12,13.6,293,113,49,10,1004,1,28,15,28,14,28,7,5.933333333333334,19.466666666666665,41.4,8,-0.8660254037844384,-0.5000000000000004,7,0.9884683243281114,0.1514277775045767,0.3907311284892735,-0.9205048534524405
2008-08-08,1,34,23,28,0.0,11,13.6,287,113,48,10,1004,1,28,14,28,14,28,7,5.95,19.45,34.5,8,-0.8660254037844384,-0.5000000000000004,8,0.9987165071710528,-0.05064916883871264,0.2923717047227367,-0.9563047559630354
2008-08-09,1,34,24,28,0.0,12,13.6,284,113,53,10,1005,3,28,16,28,14,28,7,5.95,19.433333333333334,27.6,8,-0.8660254037844384,-0.5000000000000004,9,0.9680771188662043,-0.2506525322587204,0.24192189559966745,-0.9702957262759966
2008-08-10,1,34,21,27,0.0,13,13.6,304,113,55,10,1005,2,28,16,27,16,28,7,5.966666666666667,19.416666666666668,20.7,8,-0.8660254037844384,-0.5000000000000004,10,0.8978045395707416,-0.4403941515576344,0.559192903470747,-0.8290375725550416
