date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-09-02,35,21,27,0.0,9,13.6,113,61,10,1010,7,18,11,6.2,19.0,62.1,9,-1.0,-1.8369701987210294e-16,2,0.3943558551133185,0.9189578116202306,0.2079116908177594,-0.9781476007338056
2008-09-03,36,20,28,0.0,10,13.6,113,60,10,1009,7,18,12,6.216666666666667,18.966666666666665,55.2,9,-1.0,-1.8369701987210294e-16,3,0.5712682150947923,0.8207634412072763,-0.2588190451025206,-0.9659258262890684
2008-09-04,39,24,31,0.0,7,13.6,113,49,10,1009,9,17,9,6.216666666666667,18.95,48.3,9,-1.0,-1.8369701987210294e-16,4,0.7247927872291199,0.6889669190756866,-0.5735764363510464,-0.8191520442889916
2008-09-05,39,24,31,0.0,8,13.6,113,50,10,1009,14,18,10,6.233333333333333,18.933333333333334,41.4,9,-1.0,-1.8369701987210294e-16,5,0.8486442574947509,0.5289640103269624,0.0697564737441252,-0.9975640502598244
2008-09-06,37,24,30,0.0,9,13.6,113,53,10,1008,20,18,12,6.25,18.9,34.5,9,-1.0,-1.8369701987210294e-16,6,0.9377521321470804,0.3473052528448203,-0.0174524064372834,-0.9998476951563912
2008-09-07,38,23,30,0.0,10,13.6,113,52,10,1007,8,16,13,6.25,18.883333333333333,27.6,9,-1.0,-1.8369701987210294e-16,7,0.9884683243281114,0.1514277775045767,-0.788010753606722,-0.6156614753256582
2008-09-08,35,23,28,0.0,9,13.6,113,57,10,1008,0,17,10,6.266666666666667,18.866666666666667,20.7,9,-1.0,-1.8369701987210294e-16,8,0.9987165071710528,-0.0506491688387126,0.0871557427476578,-0.9961946980917455
2008-09-09,34,19,26,0.0,9,13.6,113,62,9,1009,6,16,11,6.266666666666667,18.83333333333333,13.8,9,-1.0,-1.8369701987210294e-16,9,0.9680771188662044,-0.2506525322587204,-0.3255681544571566,-0.9455185755993168
2008-09-10,35,19,27,0.0,9,13.6,113,56,8,1009,17,16,12,6.283333333333333,18.816666666666663,6.9,9,-1.0,-1.8369701987210294e-16,10,0.8978045395707416,-0.4403941515576344,-0.0697564737441255,-0.9975640502598242
2008-09-11,35,21,28,0.0,8,13.6,113,43,10,1009,0,12,11,6.3,18.8,0.0,9,-1.0,-1.8369701987210294e-16,11,0.7907757369376989,-0.6121059825476626,-0.5150380749100545,-0.8571673007021121
2008-09-12,35,21,28,0.0,8,13.6,113,41,10,1008,1,12,10,6.3,18.766666666666666,0.0,9,-1.0,-1.8369701987210294e-16,12,0.6513724827222223,-0.7587581226927909,-0.6946583704589973,-0.7193398003386512
2008-09-13,31,20,25,0.0,11,13.6,113,58,10,1010,4,15,14,6.316666666666666,18.75,6.9,9,-1.0,-1.8369701987210294e-16,13,0.485301962531081,-0.8743466161445821,0.1391731009600654,-0.9902680687415704
2008-09-14,32,18,25,0.0,9,13.6,113,63,8,1012,28,16,12,6.333333333333333,18.73333333333333,13.8,9,-1.0,-1.8369701987210294e-16,14,0.299363122973358,-0.9541392564000488,0.4383711467890774,-0.898794046299167
2008-09-15,36,21,28,0.0,6,13.6,113,53,10,1011,2,16,8,6.333333333333333,18.7,20.7,9,-1.0,-1.8369701987210294e-16,15,0.1011683219874327,-0.994869323391895,-0.3746065934159123,-0.9271838545667872
2008-09-16,37,23,30,0.0,8,13.6,113,43,10,1010,1,14,10,6.35,18.683333333333334,27.6,9,-1.0,-1.8369701987210294e-16,16,-0.101168321987432,-0.9948693233918952,-0.6018150231520483,-0.7986355100472928
2008-09-17,36,23,29,0.0,9,13.6,113,36,10,1009,0,10,12,6.35,18.666666666666668,34.5,9,-1.0,-1.8369701987210294e-16,17,-0.2993631229733582,-0.9541392564000488,-0.766044443118978,-0.6427876096865393
2008-09-18,34,21,27,0.0,10,13.6,113,51,10,1010,0,15,12,6.366666666666666,18.633333333333333,41.4,9,-1.0,-1.8369701987210294e-16,18,-0.4853019625310808,-0.8743466161445822,-0.2079116908177598,-0.9781476007338056
2008-09-19,30,19,25,0.0,8,13.6,113,61,9,1011,6,15,9,6.383333333333334,18.616666666666667,48.3,9,-1.0,-1.8369701987210294e-16,19,-0.651372482722222,-0.7587581226927911,0.4383711467890774,-0.898794046299167
2008-09-20,31,20,25,0.0,8,13.6,113,59,10,1011,4,15,10,6.383333333333334,18.6,55.2,9,-1.0,-1.8369701987210294e-16,20,-0.7907757369376986,-0.6121059825476627,-0.4067366430758001,-0.913545457642601
2008-09-21,33,18,26,0.0,7,13.6,113,48,10,1012,2,11,9,6.4,18.566666666666663,62.1,9,-1.0,-1.8369701987210294e-16,21,-0.8978045395707417,-0.4403941515576342,-0.9986295347545738,-0.0523359562429435
2008-09-22,34,20,27,0.0,8,13.6,113,35,10,1011,4,9,12,6.416666666666667,18.55,69.0,9,-1.0,-1.8369701987210294e-16,22,-0.968077118866204,-0.2506525322587213,-0.9961946980917455,-0.0871557427476579
2008-09-23,32,21,26,0.0,12,13.6,113,44,10,1010,4,12,15,6.416666666666667,18.53333333333333,75.9,9,-1.0,-1.8369701987210294e-16,23,-0.9987165071710528,-0.0506491688387135,-0.4226182617406991,-0.90630778703665
2008-09-24,29,18,23,0.0,9,13.6,113,62,9,1014,7,14,11,6.433333333333334,18.5,82.8,9,-1.0,-1.8369701987210294e-16,24,-0.9884683243281114,0.1514277775045766,0.4848096202463373,-0.8746197071393956
2008-09-25,32,18,25,0.0,8,13.6,113,49,10,1013,3,12,11,6.45,18.48333333333333,89.7,9,-1.0,-1.8369701987210294e-16,25,-0.9377521321470804,0.3473052528448203,-1.0,1.2246467991473532e-16
2008-09-26,30,21,25,1.6,15,13.6,176,54,10,1011,28,14,20,6.45,18.45,96.6,9,-1.0,-1.8369701987210294e-16,26,-0.848644257494751,0.5289640103269624,-0.7547095802227721,-0.656059028990507
2008-09-27,25,20,22,5.9,16,9.7,353,72,10,1013,74,17,20,6.466666666666667,18.433333333333334,96.6,9,-1.0,-1.8369701987210294e-16,27,-0.72479278722912,0.6889669190756865,0.0523359562429439,-0.9986295347545738
2008-09-28,27,19,22,0.0,10,13.3,113,66,10,1015,35,15,13,6.483333333333333,18.416666666666668,89.7,9,-1.0,-1.8369701987210294e-16,28,-0.5712682150947924,0.8207634412072763,-0.1045284632676533,-0.9945218953682734
2008-09-29,30,17,24,0.0,7,13.6,113,59,10,1014,10,14,10,6.483333333333333,18.4,82.8,9,-1.0,-1.8369701987210294e-16,29,-0.3943558551133187,0.9189578116202306,-0.8910065241883679,-0.4539904997395467
2008-09-30,25,19,21,0.5,12,12.1,116,63,9,1015,44,14,17,6.5,18.366666666666667,75.9,9,-1.0,-1.8369701987210294e-16,30,-0.2012985200886611,0.9795299412524944,-0.2923717047227371,-0.9563047559630352
2008-10-01,26,18,21,0.0,7,13.6,113,63,10,1018,3,13,8,6.516666666666667,18.35,69.0,10,-0.8660254037844386,0.5000000000000001,1,0.20129852008866,0.9795299412524944,0.0174524064372831,-0.9998476951563912
2008-10-02,27,17,22,0.0,6,13.6,113,64,10,1017,1,14,8,6.516666666666667,18.33333333333333,62.1,10,-0.8660254037844386,0.5000000000000001,2,0.3943558551133185,0.9189578116202306,0.1218693434051476,-0.992546151641322
2008-10-03,32,18,24,0.0,6,13.6,113,55,10,1017,4,13,7,6.533333333333333,18.3,55.2,10,-0.8660254037844386,0.5000000000000001,3,0.5712682150947923,0.8207634412072763,-0.8191520442889918,-0.5735764363510462
2008-10-04,34,19,26,0.0,7,13.6,113,38,10,1016,5,10,11,6.55,18.28333333333333,48.3,10,-0.8660254037844386,0.5000000000000001,4,0.7247927872291199,0.6889669190756866,-0.6819983600624984,0.7313537016191706
2008-10-05,34,21,27,0.0,8,13.6,113,35,10,1016,6,9,11,6.55,18.266666666666666,41.4,10,-0.8660254037844386,0.5000000000000001,5,0.8486442574947509,0.5289640103269624,-0.984807753012208,-0.1736481776669304
2008-10-06,31,21,25,0.0,9,13.6,113,51,10,1017,3,14,11,6.566666666666666,18.23333333333333,34.5,10,-0.8660254037844386,0.5000000000000001,6,0.9377521321470804,0.3473052528448203,-0.0174524064372834,-0.9998476951563912
2008-10-07,28,18,23,0.0,9,13.6,113,61,10,1016,7,14,11,6.583333333333333,18.216666666666665,27.6,10,-0.8660254037844386,0.5000000000000001,7,0.9884683243281114,0.1514277775045767,0.3746065934159119,-0.9271838545667874
